
Max accuracy reached: 1.00
Max accuracy first reached on iteration: 23 (384 samples)
Grammar for max accuracy:
Weights:	0.49	0.49	0.24	0.37	0.54	0.37	0.74	0.37	0.44	0.12	0.7
Constraints:	1	2	4	5	9	12	15	16	32	33	46

Letter	Target	Harmony	Rank	N Cands	Candidates tied with or ranked higher than the target
A	6	-1.95733824813	1	176	
B	4	-0.857844515001	1	150	
C	1	0.0	1	2	
D	2	-0.492368116914	1	12	
E	22	-2.573533545	1	2704	
F	6	-1.35021263192	1	176	
G	1	-0.60712561621	1	14	
H	6	-1.35021263192	1	192	
I	6	-2.20010643589	1	192	
J	1	-0.241649218123	1	2	
K	12	-1.09949373312	1	176	
L	1	0.0	1	14	
M	12	-0.863743065324	1	2542	
N	4	-0.863743065324	1	162	
O	1	0.0	1	2	
P	2	-0.492368116914	1	14	
Q	2	-0.857844515001	1	16	
R	4	-0.857844515001	1	162	
S	1	-0.848774834334	1	14	
T	2	-0.976785522805	1	16	
U	1	0.0	1	2	
V	1	-0.371374948409	1	14	
W	1	-0.742749896819	1	2542	
X	2	-1.09949373312	1	16	
Y	4	-1.09949373312	1	144	
Z	1	-1.33807841238	1	162	
a	2	-0.492368116914	1	16	
b	2	-0.492368116914	1	16	
c	1	0.0	1	2	
d	2	-0.611309124718	1	16	
e	1	-0.48441740589	1	14	
f	2	-1.09949373312	1	16	
g	2	-1.09949373312	1	16	
h	2	-0.492368116914	1	16	
i	2	-1.04836335942	1	8	
j	2	-1.65548897563	1	8	
k	4	-1.09949373312	1	176	
l	1	0.0	1	2	
m	6	-0.984736233829	1	192	
n	2	-0.492368116914	1	16	
o	1	0.0	1	2	
p	2	-0.492368116914	1	16	
q	2	-0.492368116914	1	16	
r	2	-0.492368116914	1	16	
s	1	-0.848774834334	1	14	
t	2	-0.857844515001	1	16	
u	1	0.0	1	14	
v	1	-0.371374948409	1	14	
w	1	-0.742749896819	1	2542	
x	2	-1.09949373312	1	16	
y	2	-1.09949373312	1	16	
z	1	-1.33807841238	1	162	
