
Max accuracy reached: 1.00
Max accuracy first reached on iteration: 43 (776 samples)
Random number generator initialized with seed 56
Initial grammar weights:	0.88	0.41	0.27	0.8	0.38	0.29	0.55	0.93	0.24	0.2	0.79	0.63
Grammar for max accuracy:	0.88	0.41	0.37	0.4	0.68	0.29	0.35	0.53	1.04	0.3	0.09	0.63
Constraints:	1	2	4	5	9	11	12	13	15	16	33	46

Letter	Target	Harmony	Rank	N Cands	Candidates tied with or ranked higher than the target
A	6	-3.76773901775	1	176	
B	4	-1.81845357133	1	150	
C	1	0.0	1	2	
D	2	-0.938097762717	1	12	
E	22	-3.35061975633	1	2704	
F	6	-2.23036609463	1	176	
G	1	-1.53737292311	1	14	
H	6	-2.75655133405	1	192	
I	6	-2.79352348916	1	192	
J	1	-0.657017114501	1	2	
K	12	-2.18550544852	1	176	
L	1	0.0	1	14	
M	12	-3.97368148791	1	2542	
N	4	-2.39512576967	1	162	
O	1	0.0	1	2	
P	2	-0.938097762717	1	14	
Q	2	-1.29226833191	1	16	
R	4	-1.81845357133	1	162	
S	1	-1.37823956089	1	14	
T	2	-1.67326982747	1	16	
U	1	0.0	1	2	
V	1	-0.930842767533	1	14	
W	1	-3.96642649273	1	2542	
X	2	-1.6593202091	1	16	
Y	4	-1.6593202091	1	144	
Z	1	-1.42956358478	1	162	
a	2	-0.938097762717	1	16	
b	2	-0.938097762717	1	16	
c	1	0.0	1	2	
d	2	-1.02913402096	1	16	
e	1	-0.971392066852	1	14	
f	2	-1.94928544642	1	16	
g	2	-1.94928544642	1	16	
h	2	-0.938097762717	1	16	
i	2	-1.02913402096	1	8	
j	2	-2.04032170465	1	8	
k	4	-2.18550544852	1	176	
l	1	0.0	1	2	
m	6	-2.40238076485	1	192	
n	2	-0.938097762717	1	16	
o	1	0.0	1	2	
p	2	-0.938097762717	1	16	
q	2	-0.938097762717	1	16	
r	2	-0.938097762717	1	16	
s	1	-1.37823956089	1	14	
t	2	-1.58223356923	1	16	
u	1	-0.526185239416	1	14	
v	1	-0.930842767533	1	14	
w	1	-3.96642649273	1	2542	
x	2	-1.6593202091	1	16	
y	2	-1.6593202091	1	16	
z	1	-1.42956358478	1	162	
